model,obs_bin,mean_observed,mean_abs_error,mean_residual,count
Linear_pred,"(-1.031, 1.485]",1.065300249865414,0.2651128019086459,0.06394059452798188,880
Linear_pred,"(1.485, 1.841]",1.688203980151533,0.1819186254449982,0.09440213487553371,874
Linear_pred,"(1.841, 2.034]",1.9454531082482416,0.16178204074288496,0.10977522210533179,879
Linear_pred,"(2.034, 2.192]",2.1183324926800005,0.16180178815249377,0.11779653701738425,877
Linear_pred,"(2.192, 2.326]",2.2616981603999977,0.1574191917109333,0.12092054341695763,875
Linear_pred,"(2.326, 2.439]",2.3806074047077455,0.15914472951549713,0.12651199872724356,877
Linear_pred,"(2.439, 2.56]",2.497960685940769,0.16541087546044522,0.14370162484502677,877
Linear_pred,"(2.56, 2.691]",2.6234832126100103,0.169506163629159,0.14787994009208658,880
Linear_pred,"(2.691, 2.894]",2.7866297850644464,0.18046740529578303,0.16447223145442882,874
Linear_pred,"(2.894, 5.022]",3.1729313290858503,0.17314537297513463,0.16065979179717296,877
NAQFC_pred,"(-1.031, 1.485]",1.0629414622054987,0.9675222007636524,-0.09025566080091231,882
NAQFC_pred,"(1.485, 1.841]",1.688203980151533,0.6754747799993037,-0.2738027861962857,874
NAQFC_pred,"(1.841, 2.034]",1.9454531082482416,0.5730239171219803,-0.3201314209937144,879
NAQFC_pred,"(2.034, 2.192]",2.118339886819918,0.5598974719202664,-0.36298339083657727,878
NAQFC_pred,"(2.192, 2.326]",2.2616981603999977,0.50588685609504,-0.36501990249631083,875
NAQFC_pred,"(2.326, 2.439]",2.3806074047077455,0.47108921651997393,-0.32952621937675586,877
NAQFC_pred,"(2.439, 2.56]",2.497960685940769,0.4855019666190858,-0.34774367231663594,877
NAQFC_pred,"(2.56, 2.691]",2.6234832126100103,0.4609347274235777,-0.3359789148738241,880
NAQFC_pred,"(2.691, 2.894]",2.7865721751135943,0.46295821530294784,-0.3365148736989938,875
NAQFC_pred,"(2.894, 5.022]",3.1757459509034507,0.5238141378578468,-0.23286227877094495,882
Sinusoidal_pred,"(-1.031, 1.485]",1.06231546340676,0.8930925241779831,-0.844787063402512,876
Sinusoidal_pred,"(1.485, 1.841]",1.6884030117445328,0.5889098078742528,-0.5009732719159886,871
Sinusoidal_pred,"(1.841, 2.034]",1.9453770405904194,0.5627862938955662,-0.43086058267376454,876
Sinusoidal_pred,"(2.034, 2.192]",2.1184668812472682,0.5388715638367277,-0.40616971852230027,872
Sinusoidal_pred,"(2.192, 2.326]",2.26173456752219,0.5168127121986492,-0.3497920043397987,873
Sinusoidal_pred,"(2.326, 2.439]",2.380599491330773,0.4658018989612958,-0.2737096060570415,875
Sinusoidal_pred,"(2.439, 2.56]",2.498023426299598,0.46046840193311,-0.2690012685189522,870
Sinusoidal_pred,"(2.56, 2.691]",2.623464350963768,0.44495304473616343,-0.1701009804908745,874
Sinusoidal_pred,"(2.691, 2.894]",2.7867099093585486,0.4248221251381755,-0.11474953245824424,873
Sinusoidal_pred,"(2.894, 5.022]",3.1726108597268943,0.5136628895979048,0.10524783076596676,868
