model,lag_hours,residual_autocorrelation
GEOSCF_pred,1,0.9576060079096587
GEOSCF_pred,2,0.8789600159758483
GEOSCF_pred,3,0.781569595037502
GEOSCF_pred,4,0.6741016277255157
GEOSCF_pred,5,0.5642162396037999
GEOSCF_pred,6,0.4576030413909526
GEOSCF_pred,7,0.3591792693264777
GEOSCF_pred,8,0.2724487786335029
GEOSCF_pred,9,0.20060685977996487
GEOSCF_pred,10,0.1448562908275434
GEOSCF_pred,11,0.10637196020143994
GEOSCF_pred,12,0.08564669422575179
GEOSCF_pred,13,0.08182755653087709
GEOSCF_pred,14,0.09486413083316973
GEOSCF_pred,15,0.12455332295386336
GEOSCF_pred,16,0.16883697550032928
GEOSCF_pred,17,0.224924109699243
GEOSCF_pred,18,0.2879653994658385
GEOSCF_pred,19,0.3527771136026856
GEOSCF_pred,20,0.41489751967948524
GEOSCF_pred,21,0.46999465265798945
GEOSCF_pred,22,0.5119761902653993
GEOSCF_pred,23,0.535129551775396
GEOSCF_pred,24,0.5371767263518211
NAQFC_pred,1,0.9657952432362746
NAQFC_pred,2,0.9069355035012928
NAQFC_pred,3,0.8418575811454595
NAQFC_pred,4,0.780676324446581
NAQFC_pred,5,0.7267633829139263
NAQFC_pred,6,0.6786744166138653
NAQFC_pred,7,0.6373761970379801
NAQFC_pred,8,0.5999833286575075
NAQFC_pred,9,0.5683455036619017
NAQFC_pred,10,0.5417963444060698
NAQFC_pred,11,0.519793329510924
NAQFC_pred,12,0.5025674087511719
NAQFC_pred,13,0.48924102369293265
NAQFC_pred,14,0.48064540533249067
NAQFC_pred,15,0.4757102089569896
NAQFC_pred,16,0.4734763253084154
NAQFC_pred,17,0.4739893295668233
NAQFC_pred,18,0.47677443907820993
NAQFC_pred,19,0.4821412761855237
NAQFC_pred,20,0.4900128558901779
NAQFC_pred,21,0.4994800847900439
NAQFC_pred,22,0.5087674825149004
NAQFC_pred,23,0.5140147279439901
NAQFC_pred,24,0.5106869993375177
CAMS_pred,1,0.9497680365610329
CAMS_pred,2,0.8684301144836987
CAMS_pred,3,0.7716388749699253
CAMS_pred,4,0.6685201997075848
CAMS_pred,5,0.5655176041132365
CAMS_pred,6,0.4648869400887308
CAMS_pred,7,0.3740036154432746
CAMS_pred,8,0.29524539148942774
CAMS_pred,9,0.2319293263299206
CAMS_pred,10,0.18306773903825233
CAMS_pred,11,0.1456115354362715
CAMS_pred,12,0.12042260039155765
CAMS_pred,13,0.10686250577519753
CAMS_pred,14,0.1059404450733086
CAMS_pred,15,0.11758144921075006
CAMS_pred,16,0.14335936648000158
CAMS_pred,17,0.18272191417774636
CAMS_pred,18,0.23402297615481846
CAMS_pred,19,0.29505582149569615
CAMS_pred,20,0.358852576182127
CAMS_pred,21,0.42019078902441115
CAMS_pred,22,0.4731582609619029
CAMS_pred,23,0.5122485917496039
CAMS_pred,24,0.5275192611650021
Linear_pred,1,0.12578173936116738
Linear_pred,2,0.08951972872695042
Linear_pred,3,0.042427802430364356
Linear_pred,4,0.12261549274549174
Linear_pred,5,0.17165268149400528
Linear_pred,6,0.1428562032709106
Linear_pred,7,0.14250633788610273
Linear_pred,8,-0.007765768812299626
Linear_pred,9,-0.006409774068743448
Linear_pred,10,0.022795731790891255
Linear_pred,11,0.026108846060318568
Linear_pred,12,0.035436418295621816
Linear_pred,13,0.006078300923793502
Linear_pred,14,-0.010723143975929016
Linear_pred,15,-0.019729451801901846
Linear_pred,16,-0.008513578324492246
Linear_pred,17,0.018984550269699647
Linear_pred,18,0.02727026590105956
Linear_pred,19,0.036883938756564254
Linear_pred,20,0.06210020448909204
Linear_pred,21,0.058951332180564316
Linear_pred,22,0.08041998762634785
Linear_pred,23,0.10463868867291999
Linear_pred,24,0.13503031563151915
Sinusoidal_pred,1,0.8128602058930888
Sinusoidal_pred,2,0.6956772965576353
Sinusoidal_pred,3,0.6157535891086287
Sinusoidal_pred,4,0.5418878893319891
Sinusoidal_pred,5,0.49910850870338963
Sinusoidal_pred,6,0.44716495089012326
Sinusoidal_pred,7,0.43684821721362427
Sinusoidal_pred,8,0.4414607461610394
Sinusoidal_pred,9,0.4520513184343575
Sinusoidal_pred,10,0.47835752303498247
Sinusoidal_pred,11,0.526764528360257
Sinusoidal_pred,12,0.5206807622887177
Sinusoidal_pred,13,0.4894843898150581
Sinusoidal_pred,14,0.44145943677572747
Sinusoidal_pred,15,0.3992346340407119
Sinusoidal_pred,16,0.3685717301808238
Sinusoidal_pred,17,0.3509458422630327
Sinusoidal_pred,18,0.3422613280649575
Sinusoidal_pred,19,0.3441118352408334
Sinusoidal_pred,20,0.3467122708898877
Sinusoidal_pred,21,0.3589466358277819
Sinusoidal_pred,22,0.36931226920476745
Sinusoidal_pred,23,0.3654891318083772
Sinusoidal_pred,24,0.3837279147351459
